#Organism Name,Organism Groups,Strain,BioSample,BioProject,Level,Size(Mb),CDS,Genes,Host,RefSeq category,tRNA
"Parabacteroides distasonis ATCC 8503","Bacteria;FCB group;Bacteroidetes/Chlorobi group","ATCC 8503","SAMN02604310","PRJNA13485","Complete",4.81138,3880,4081,"human","representative",82
"Carboxydothermus hydrogenoformans Z-2901","Bacteria;Terrabacteria group;Firmicutes","Z-2901","SAMN02603998","PRJNA253","Complete",2.40152,2417,2505,,"representative",49
"Pelobacter carbinolicus DSM 2380","Bacteria;Proteobacteria;delta/epsilon subdivisions","DSM 2380","SAMN02598295","PRJNA13337","Complete",3.66589,3197,3293,,"representative",54
"Geobacter metallireducens GS-15","Bacteria;Proteobacteria;delta/epsilon subdivisions","GS-15","SAMN02598399","PRJNA177","Complete",4.01118,3539,3635,,"representative",49
"Burkholderia lata","Bacteria;Proteobacteria;Betaproteobacteria","383","SAMN02598262","PRJNA10695","Complete",8.67628,7678,7991,"human",,69
"Sulfurimonas denitrificans DSM 1251","Bacteria;Proteobacteria;delta/epsilon subdivisions","DSM 1251","SAMN02598289","PRJNA13019","Complete",2.20156,2133,2196,,"representative",44
"Hahella chejuensis KCTC 2396","Bacteria;Proteobacteria;Gammaproteobacteria","KCTC 2396","SAMN02603483","PRJNA16064","Complete",7.21527,6274,6424,,"representative",67
"Erythrobacter litoralis HTCC2594","Bacteria;Proteobacteria;Alphaproteobacteria","HTCC2594","SAMN00622970","PRJNA13480","Complete",3.0524,2887,2975,,"representative",43
"Hyphomonas neptunium ATCC 15444","Bacteria;Proteobacteria;Alphaproteobacteria","ATCC 15444","SAMN02604041","PRJNA15721","Complete",3.70502,3461,3534,,"representative",43
"Salinibacter ruber DSM 13855","Bacteria;FCB group;Bacteroidetes/Chlorobi group","DSM 13855; M31","SAMN02604045","PRJNA16159","Complete",3.58733,2833,2898,,"reference",44
"Rhodospirillum rubrum ATCC 11170","Bacteria;Proteobacteria;Alphaproteobacteria","ATCC 11170","SAMN02598538","PRJNA58","Complete",4.40656,3837,3916,,"reference",55
"Moorella thermoacetica ATCC 39073","Bacteria;Terrabacteria group;Firmicutes","ATCC 39073","SAMN02598257","PRJNA10648","Complete",2.62878,2460,2610,,"reference",51
"Anaplasma phagocytophilum str. HZ","Bacteria;Proteobacteria;Alphaproteobacteria","HZ","SAMN02604015","PRJNA336","Complete",1.47128,1066,1178,"human","representative",37
"Ehrlichia chaffeensis str. Arkansas","Bacteria;Proteobacteria;Alphaproteobacteria","Arkansas","SAMN02604010","PRJNA325","Complete",1.17625,892,952,"human","representative",37
"Neorickettsia sennetsu str. Miyayama","Bacteria;Proteobacteria;Alphaproteobacteria","Miyayama","SAMN02604016","PRJNA357","Complete",0.859006,759,800,"human","representative",33
"Baumannia cicadellinicola str. Hc (Homalodisca coagulata)","Bacteria;Proteobacteria;Gammaproteobacteria","Hc (Homalodisca coagulata)","SAMN02604023","PRJNA12513","Complete",0.686194,595,651,,,39
"Nitrobacter winogradskyi Nb-255","Bacteria;Proteobacteria;Alphaproteobacteria","Nb-255","SAMN02598308","PRJNA13474","Complete",3.40209,2984,3224,,"representative",49
"Thiobacillus denitrificans ATCC 25259","Bacteria;Proteobacteria;Betaproteobacteria","ATCC 25259","SAMN02598291","PRJNA13025","Complete",2.90981,2771,2852,,"representative",43
"Mycoplasma capricolum subsp. capricolum ATCC 27343","Bacteria;Terrabacteria group;Tenericutes","ATCC 27343","SAMN02603434","PRJNA16208","Complete",1.01002,797,877,,"representative",30
"Desulfovibrio alaskensis G20","Bacteria;Proteobacteria;delta/epsilon subdivisions","G20","SAMN02598492","PRJNA329","Complete",3.73023,3339,3468,,"representative",67
"Myxococcus xanthus DK 1622","Bacteria;Proteobacteria;delta/epsilon subdivisions","DK 1622","SAMN02604018","PRJNA1421","Complete",9.13976,7181,7348,,"representative",65
"Clostridium perfringens ATCC 13124","Bacteria;Terrabacteria group;Firmicutes","ATCC 13124","SAMN02604008","PRJNA304","Complete",3.25668,2801,2948,"human","representative",92
"Novosphingobium aromaticivorans DSM 12444","Bacteria;Proteobacteria;Alphaproteobacteria","DSM 12444","SAMN02598432","PRJNA204","Complete",4.23331,3928,4032,,"representative",56
"Frankia casuarinae","Bacteria;Terrabacteria group;Actinobacteria","CcI3","SAMN02199398","PRJNA13963","Complete",5.43363,4353,4734,,"representative",45
"Rhodopseudomonas palustris HaA2","Bacteria;Proteobacteria;Alphaproteobacteria","HaA2","SAMN02598335","PRJNA15747","Complete",5.33166,4673,4785,,"representative",50
"Syntrophus aciditrophicus SB","Bacteria;Proteobacteria;delta/epsilon subdivisions","SB","SAMN02603418","PRJNA16258","Complete",3.1793,2897,2989,,"representative",49
"Staphylococcus aureus subsp. aureus NCTC 8325","Bacteria;Terrabacteria group;Firmicutes","NCTC 8325","SAMN02604235","PRJNA237","Complete",2.82136,2767,2872,"human","reference",61
"Methanospirillum hungatei JF-1","Archaea;Euryarchaeota;Stenosarchaea group","JF-1","SAMN02598287","PRJNA13015","Complete",3.54474,3294,3428,,"representative",51
"Rhodoferax ferrireducens T118","Bacteria;Proteobacteria;Betaproteobacteria","DSM 15236","SAMN02598320","PRJNA13908","Complete",4.96978,4479,4605,,"representative",46
"Janthinobacterium sp. Marseille","Bacteria;Proteobacteria;Betaproteobacteria","Marseille","SAMN02603336","PRJNA16549","Complete",4.11025,3785,3870,,,46
"Paraburkholderia xenovorans LB400","Bacteria;Proteobacteria;Betaproteobacteria","LB400","SAMN02598451","PRJNA254","Complete",9.73114,8421,8841,"human","representative",65
"Saccharophagus degradans 2-40","Bacteria;Proteobacteria;Gammaproteobacteria","2-40","SAMN02598483","PRJNA316","Complete",5.05753,4111,4233,,"representative",41
"Jannaschia sp. CCS1","Bacteria;Proteobacteria;Alphaproteobacteria","CCS1","SAMN02598279","PRJNA12733","Complete",4.40405,4271,4363,,,41
"Methylobacillus flagellatus KT","Bacteria;Proteobacteria;Betaproteobacteria","KT","SAMN02598256","PRJNA10647","Complete",2.97152,2715,2815,,,46
"Methanococcoides burtonii DSM 6242","Archaea;Euryarchaeota;Stenosarchaea group","DSM 6242","SAMN02598545","PRJNA9634","Complete",2.57503,2406,2571,,"representative",48
"Shewanella denitrificans OS217","Bacteria;Proteobacteria;Gammaproteobacteria","OS217","SAMN02598300","PRJNA13390","Complete",4.54591,3775,3973,,"representative",93
"Polaromonas sp. JS666","Bacteria;Proteobacteria;Betaproteobacteria","JS666","SAMN02598293","PRJNA13121","Complete",5.89868,5485,5660,,,45
"Nitrobacter hamburgensis X14","Bacteria;Proteobacteria;Alphaproteobacteria","X14","SAMN02598307","PRJNA13473","Complete",5.01152,4462,4899,,"representative",56
"Psychrobacter cryohalolentis K5","Bacteria;Proteobacteria;Gammaproteobacteria","K5","SAMN02598327","PRJNA13920","Complete",3.1011,2505,2597,,,48
"Leptospira borgpetersenii serovar Hardjo-bovis str. L550","Bacteria;Spirochaetes;Spirochaetia","L550","SAMN02603615","PRJNA16146","Complete",3.93178,3288,3847,"human","representative",37
"Sphingopyxis alaskensis RB2256","Bacteria;Proteobacteria;Alphaproteobacteria","RB2256","SAMN02598319","PRJNA13907","Complete",3.37371,3194,3304,,"representative",45
"Candidatus Koribacter versatilis Ellin345","Bacteria;Acidobacteria;Acidobacteriia","Ellin345","SAMN02598354","PRJNA15771","Complete",5.65037,4900,4975,,,46
"Arcobacter butzleri RM4018","Bacteria;Proteobacteria;delta/epsilon subdivisions","RM4018","SAMN02604276","PRJNA16319","Complete",2.34125,2256,2332,"human","representative",54
"Roseobacter denitrificans OCh 114","Bacteria;Proteobacteria;Alphaproteobacteria","OCh 114","SAMN02602987","PRJNA16426","Complete",4.33123,4004,4092,,"representative",37
"Ruegeria sp. TM1040","Bacteria;Proteobacteria;Alphaproteobacteria","TM1040","SAMN02598292","PRJNA13040","Complete",4.1537,3839,3951,,,61
"Clostridium novyi NT","Bacteria;Terrabacteria group;Firmicutes","NT","SAMN02603464","PRJNA16820","Complete",2.54772,2240,2392,"human","representative",81
"Cytophaga hutchinsonii ATCC 33406","Bacteria;FCB group;Bacteroidetes/Chlorobi group","ATCC 33406","SAMN02598536","PRJNA54","Complete",4.43322,3690,3769,,"representative",38
"Mycobacterium sp. MCS","Bacteria;Terrabacteria group;Actinobacteria","MCS","SAMN02598348","PRJNA15762","Complete",5.92052,5642,5761,"human",,48
"Rubrobacter xylanophilus DSM 9941","Bacteria;Terrabacteria group;Actinobacteria","DSM 9941","SAMN02598258","PRJNA10670","Complete",3.22575,3160,3257,,"representative",45
"Streptococcus sanguinis SK36","Bacteria;Terrabacteria group;Firmicutes","SK36","SAMN02604299","PRJNA13942","Complete",2.38843,2270,2348,"human","reference",61
"Pseudoalteromonas atlantica T6c","Bacteria;Proteobacteria;Gammaproteobacteria","T6c","SAMN02598305","PRJNA13454","Complete",5.18701,4319,4464,,"representative",62
"Chelativorans sp. BNC1","Bacteria;Proteobacteria;Alphaproteobacteria","BNC1","SAMN02598260","PRJNA10690","Complete",4.93518,4574,4711,,,50
"Trichodesmium erythraeum IMS101","Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group","IMS101","SAMN02598485","PRJNA318","Complete",7.75011,4549,5212,,"representative",38
"Lactobacillus gasseri ATCC 33323 = JCM 1131","Bacteria;Terrabacteria group;Firmicutes","ATCC 33323","SAMN02598542","PRJNA84","Complete",1.89436,1754,1891,,"representative",75
"Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293","Bacteria;Terrabacteria group;Firmicutes","ATCC 8293","SAMN02598482","PRJNA315","Complete",2.07576,1960,2089,,"representative",70
"Lactobacillus brevis ATCC 367","Bacteria;Terrabacteria group;Firmicutes","ATCC 367","SAMN02598532","PRJNA404","Complete",2.34023,2180,2330,,"representative",63
"Rickettsia canadensis str. McKiel","Bacteria;Proteobacteria;Alphaproteobacteria","McKiel","SAMN02604083","PRJNA12952","Complete",1.15977,909,1142,"human","representative",33
"Oenococcus oeni PSU-1","Bacteria;Terrabacteria group;Firmicutes","PSU-1","SAMN02598484","PRJNA317","Complete",1.78052,1655,1831,,"representative",43
"Pediococcus pentosaceus ATCC 25745","Bacteria;Terrabacteria group;Firmicutes","ATCC 25745","SAMN02598525","PRJNA398","Complete",1.83239,1718,1814,,"representative",55
"Lactobacillus paracasei ATCC 334","Bacteria;Terrabacteria group;Firmicutes","ATCC 334","SAMN02598528","PRJNA402","Complete",2.92433,2764,2922,,"reference",59
"Shewanella frigidimarina NCIMB 400","Bacteria;Proteobacteria;Gammaproteobacteria","NCIMB 400","SAMN02598301","PRJNA13391","Complete",4.84526,4024,4204,,"representative",96
"Syntrophomonas wolfei subsp. wolfei str. Goettingen G311","Bacteria;Terrabacteria group;Firmicutes","Goettingen G311","SAMN02598286","PRJNA13014","Complete",2.9362,2568,2677,,"representative",46
"Maricaulis maris MCS10","Bacteria;Proteobacteria;Alphaproteobacteria","MCS10","SAMN02598382","PRJNA17333","Complete",3.36878,3099,3172,,"representative",45
"Nitrosomonas eutropha C91","Bacteria;Proteobacteria;Betaproteobacteria","C91","SAMN02598323","PRJNA13913","Complete",2.78182,2484,2688,,"representative",41
"Alkalilimnicola ehrlichii MLHE-1","Bacteria;Proteobacteria;Gammaproteobacteria","MLHE-1","SAMN02598349","PRJNA15763","Complete",3.27594,2858,2942,,"representative",48
"Aeromonas hydrophila subsp. hydrophila ATCC 7966","Bacteria;Proteobacteria;Gammaproteobacteria","ATCC 7966","SAMN02604052","PRJNA16697","Complete",4.74445,4118,4283,"human","reference",128
"Rhodococcus jostii RHA1","Bacteria;Terrabacteria group;Actinobacteria","RHA1","SAMN02604146","PRJNA13693","Complete",9.70274,8690,9256,,"representative",52
"Magnetococcus marinus MC-1","Bacteria;Proteobacteria;Alphaproteobacteria","MC-1","SAMN02598452","PRJNA262","Complete",4.71958,3766,3917,,"representative",45
"Shewanella piezotolerans WP3","Bacteria;Proteobacteria;Gammaproteobacteria","WP3","SAMN02603456","PRJNA17675","Complete",5.39648,4395,4665,,"representative",86
"Candidatus Solibacter usitatus Ellin6076","Bacteria;Acidobacteria;Solibacteres","Ellin6076","SAMN02598277","PRJNA12638","Complete",9.96564,8004,8181,,,51
"Paenarthrobacter aurescens TC1","Bacteria;Terrabacteria group;Actinobacteria","TC1","SAMN02604022","PRJNA12512","Complete",5.22665,4662,4806,,"representative",54
"Methanothrix thermoacetophila PT","Archaea;Euryarchaeota;Stenosarchaea group","PT","SAMN02598350","PRJNA15765","Complete",1.87947,1696,1781,,,44
"Syntrophobacter fumaroxidans MPOB","Bacteria;Proteobacteria;delta/epsilon subdivisions","MPOB","SAMN02598285","PRJNA13013","Complete",4.99025,4134,4223,,"representative",50
"Mycolicibacterium smegmatis MC2 155","Bacteria;Terrabacteria group;Actinobacteria","MC2 155","SAMN02603982","PRJNA92","Complete",6.98821,6717,6938,"human","reference",47
"Acidothermus cellulolyticus 11B","Bacteria;Terrabacteria group;Actinobacteria","11B; ATCC 43068","SAMN02598358","PRJNA16097","Complete",2.44354,2152,2223,,"representative",46
"Pelobacter propionicus DSM 2379","Bacteria;Proteobacteria;delta/epsilon subdivisions","DSM 2379","SAMN02598297","PRJNA13384","Complete",4.24112,3796,3902,,"representative",53
"Candidatus Ruthia magnifica str. Cm (Calyptogena magnifica)","Bacteria;Proteobacteria;Gammaproteobacteria","Cm","SAMN02598375","PRJNA16841","Complete",1.16078,1034,1099,,,36
"Chlorobium phaeobacteroides DSM 266","Bacteria;FCB group;Bacteroidetes/Chlorobi group","DSM 266","SAMN02598273","PRJNA12609","Complete",3.1339,2744,2902,,"representative",47
"Hyperthermus butylicus DSM 5456","Archaea;TACK group;Crenarchaeota","DSM 5456","SAMN02604082","PRJNA208","Complete",1.66716,1675,1771,,"representative",46
"Bradyrhizobium sp. BTAi1","Bacteria;Proteobacteria;Alphaproteobacteria","BTAi1","SAMN02598359","PRJNA16137","Complete",8.49351,7496,7716,,,49
"Pyrobaculum islandicum DSM 4184","Archaea;TACK group;Crenarchaeota","DSM 4184","SAMN02598374","PRJNA16743","Complete",1.8264,1966,2075,,,39
"Thermofilum pendens Hrk 5","Archaea;TACK group;Crenarchaeota","Hrk 5","SAMN02598366","PRJNA16331","Complete",1.81339,1866,1926,,,39
"Shewanella amazonensis SB2B","Bacteria;Proteobacteria;Gammaproteobacteria","SB2B","SAMN02598298","PRJNA13385","Complete",4.30614,3684,3828,,"representative",101
"Nocardioides sp. JS614","Bacteria;Terrabacteria group;Actinobacteria","JS614","SAMN02598280","PRJNA12738","Complete",5.29368,4960,5082,,,46
"Psychromonas ingrahamii 37","Bacteria;Proteobacteria;Gammaproteobacteria","37","SAMN02598361","PRJNA16187","Complete",4.5596,3683,3915,,"representative",85
"Mycolicibacterium vanbaalenii PYR-1","Bacteria;Terrabacteria group;Actinobacteria","PYR-1","SAMN02598347","PRJNA15761","Complete",6.49186,5999,6201,,"representative",49
"Acidovorax citrulli AAC00-1","Bacteria;Proteobacteria;Betaproteobacteria","AAC00-1","SAMN02598334","PRJNA15708","Complete",5.35277,4674,4890,"plants",,53
"Dichelobacter nodosus VCS1703A","Bacteria;Proteobacteria;Gammaproteobacteria","VCS1703A","SAMN02603972","PRJNA50","Complete",1.38935,1277,1348,,"representative",45
"Acidovorax sp. JS42","Bacteria;Proteobacteria;Betaproteobacteria","JS42","SAMN02598333","PRJNA15685","Complete",4.58515,4159,4383,,,51
"Verminephrobacter eiseniae EF01-2","Bacteria;Proteobacteria;Betaproteobacteria","EF01-2","SAMN02598379","PRJNA17187","Complete",5.59794,4757,5219,,"representative",47
"Halorhodospira halophila SL1","Bacteria;Proteobacteria;Gammaproteobacteria","SL1","SAMN00623046","PRJNA15767","Complete",2.67845,2402,2490,,"representative",46
"Shewanella sp. MR-7","Bacteria;Proteobacteria;Gammaproteobacteria","MR-7","SAMN02598316","PRJNA13903","Complete",4.79911,4069,4251,,,103
"Bartonella bacilliformis KC583","Bacteria;Proteobacteria;Alphaproteobacteria","KC583; ATCC 35685","SAMN02604047","PRJNA16249","Complete",1.44502,1199,1290,"human","representative",44
"Methylibium petroleiphilum PM1","Bacteria;Proteobacteria;Betaproteobacteria","PM1","SAMN02598264","PRJNA10789","Complete",4.64364,4452,4580,,"representative",68
"Geobacillus thermodenitrificans NG80-2","Bacteria;Terrabacteria group;Firmicutes","NG80-2","SAMN02603899","PRJNA18655","Complete",3.60801,3396,3649,,"representative",88
"Methanocorpusculum labreanum Z","Archaea;Euryarchaeota;Stenosarchaea group","Z","SAMN00623052","PRJNA18109","Complete",1.80496,1799,1876,,"representative",50
"Bacillus velezensis FZB42","Bacteria;Terrabacteria group;Firmicutes","FZB42","SAMN02603158","PRJNA13403","Complete",3.91859,3687,3892,,,88
"Pyrobaculum calidifontis JCM 11548","Archaea;TACK group;Crenarchaeota","JCM 11548","SAMN00623060","PRJNA18111","Complete",2.00931,2149,2200,,,22
"Methanoculleus marisnigri JR1","Archaea;Euryarchaeota;Stenosarchaea group","JR1","SAMN02598365","PRJNA16330","Complete",2.4781,2430,2511,,"representative",49
"Hungateiclostridium thermocellum ATCC 27405","Bacteria;Terrabacteria group;Firmicutes","ATCC 27405","SAMN02598481","PRJNA314","Complete",3.8433,3204,3391,,"representative",56
"Actinobacillus pleuropneumoniae serovar 5b str. L20","Bacteria;Proteobacteria;Gammaproteobacteria","L20","SAMN02603665","PRJNA18221","Complete",2.27448,2030,2171,,,62
"Polaromonas naphthalenivorans CJ2","Bacteria;Proteobacteria;Betaproteobacteria","CJ2","SAMN02598302","PRJNA13418","Complete",5.36614,4879,5066,,"representative",52
"Staphylothermus marinus F1","Archaea;TACK group;Crenarchaeota","F1","SAMN02598390","PRJNA17449","Complete",1.57048,1598,1662,,,43
"Shewanella loihica PV-4","Bacteria;Proteobacteria;Gammaproteobacteria","PV-4","SAMN00623064","PRJNA13906","Complete",4.60259,3902,4063,,"representative",94
"Chlorobium phaeovibrioides DSM 265","Bacteria;FCB group;Bacteroidetes/Chlorobi group","DSM 265","SAMN02598271","PRJNA12607","Complete",1.96686,1774,1858,,"representative",45
"Desulfotomaculum reducens MI-1","Bacteria;Terrabacteria group;Firmicutes","MI-1","SAMN02598304","PRJNA13424","Complete",3.6081,3406,3571,,"representative",70
"Rhodospirillum centenum SW","Bacteria;Proteobacteria;Alphaproteobacteria","SW; ATCC 51521","SAMN02603908","PRJNA18307","Complete",4.35554,3835,3963,,"representative",52
"Enterobacter sp. 638","Bacteria;Proteobacteria;Gammaproteobacteria","638","SAMN02598394","PRJNA17461","Complete",4.67646,4361,4581,,,83
"Polynucleobacter asymbioticus QLW-P1DMWA-1","Bacteria;Proteobacteria;Betaproteobacteria","QLW-P1DMWA-1","SAMN02598371","PRJNA16679","Complete",2.15949,2113,2167,,"representative",38
"Mycolicibacterium gilvum PYR-GCK","Bacteria;Terrabacteria group;Actinobacteria","PYR-GCK","SAMN02598346","PRJNA15760","Complete",5.98283,5557,5736,,,46
"Pyrobaculum arsenaticum DSM 13514","Archaea;TACK group;Crenarchaeota","DSM 13514","SAMN02598330","PRJNA15582","Complete",2.12108,2298,2407,,,41
"Rhodobacter sphaeroides ATCC 17025","Bacteria;Proteobacteria;Alphaproteobacteria","ATCC 17025","SAMN02598341","PRJNA15755","Complete",4.55713,4280,4547,,"representative",55
"Salinispora tropica CNB-440","Bacteria;Terrabacteria group;Actinobacteria","CNB-440","SAMN02598367","PRJNA16342","Complete",5.18333,4522,4778,,"representative",50
"Clostridium kluyveri DSM 555","Bacteria;Terrabacteria group;Firmicutes","DSM 555","SAMN02603294","PRJNA19065","Complete",4.0238,3804,3968,,"representative",60
"Methanobrevibacter smithii ATCC 35061","Archaea;Euryarchaeota;Methanomada group","ATCC 35061; PS; DSMZ 861","SAMN02604313","PRJNA18653","Complete",1.85316,1710,1793,,"representative",35
