rRNA16S,Habitat,Oxygen,Motility,Spore,Pigment,Shape,Aggregation,Gram,GC,Length,Width,pH_optimum,Temp_optimum,Salt_optimum
HQ823551,plant associated,obligate aerobe,NA,no,yes,rod,NA,negative,57.2,2.75,0.5,NA,NA,NA
GQ872422,other,obligate aerobe,"motile, but unspecified structure",NA,yes,rod,NA,negative,53.3,1.6,0.6,NA,27.5,NA
FR733885,plant associated,obligate aerobe,non-motile,NA,yes,rod,NA,negative,NA,3.5,0.95,NA,20,NA
FN293378,other,obligate aerobe,non-motile,NA,NA,NA,NA,positive,NA,NA,NA,NA,NA,NA
HQ852038,other,facultative aerobe,non-motile,NA,yes,rod,NA,variable,58.6,NA,0.4,NA,30,NA
EU429322,other,obligate aerobe,non-motile,yes,NA,NA,NA,positive,70.6,NA,NA,NA,29,1.5
AB468971,soil,obligate aerobe,non-motile,no,yes,ovoid/coccobacillus,NA,positive,68.2,1,0.75,NA,24,1.5
HQ852039,other,obligate aerobe,flagella,NA,yes,ovoid/coccobacillus,NA,negative,55.4,3.7,0.55,NA,30,NA
EF564379,other,obligate aerobe,non-motile,no,NA,cocci,NA,positive,60.04,0.975,0.8,8,37,8
GU166291,other,facultative anaerobe,"motile, but unspecified structure",no,yes,rod,NA,negative,49.1,NA,0.75,NA,29,NA
HM047736,soil,obligate aerobe,non-motile,NA,no,ovoid/coccobacillus,NA,negative,72.3,1,0.55,7,30,NA
AB196712,other,obligate aerobe,non-motile,yes,yes,NA,NA,NA,72,NA,NA,NA,27.5,NA
GQ144413,freshwater,obligate aerobe,non-motile,NA,yes,rod,NA,negative,35.9,1.75,0.55,NA,20,NA
GQ148878,freshwater,obligate aerobe,non-motile,NA,yes,rod,NA,negative,32.2,1.45,0.75,7,20,NA
FJ528304,other,NA,non-motile,no,NA,cocci,NA,positive,65.8,1.55,0.8,NA,28,0.5
EF368008,soil,obligate aerobe,"motile, but unspecified structure",yes,NA,rod,NA,positive,58.8,3,0.7,7,30,0.5
EF368010,soil,obligate aerobe,"motile, but unspecified structure",yes,NA,rod,NA,positive,61.3,NA,1,7,30,1
EU583724,other,facultative anaerobe,flagella,yes,NA,rod,NA,positive,41.3,4.25,0.6,7.5,35,NA
EU888120,other,NA,non-motile,NA,NA,cocci,NA,positive,NA,NA,NA,NA,NA,NA
EU570250,other,obligate aerobe,"motile, but unspecified structure",yes,no,rod,NA,positive,50,NA,NA,NA,33.5,NA
FJ182049,food product,NA,non-motile,no,NA,cocci,NA,positive,47.8,NA,NA,NA,33.5,12
EU711071,soil,anaerobic,"motile, but unspecified structure",yes,NA,rod,NA,positive,47.7,3.15,0.5,6.8,30,NA
EU711072,soil,anaerobic,non-motile,no,NA,rod,NA,negative,47.7,2.95,0.4,6.8,28.5,NA
FM955223,other,NA,flagella,NA,NA,rod,NA,negative,41.7,NA,NA,NA,30,NA
EU512920,seawater,obligate aerobe,flagella,NA,NA,rod,NA,negative,28,1.1,0.2,7,33.5,NA
EU660516,other,anaerobic,non-motile,no,NA,NA,NA,negative,53,1.25,0.4,7,30,0
HM212415,soil,obligate aerobe,non-motile,no,yes,rod,NA,negative,42.1,NA,0.6,7,30,0
FJ750453,other,obligate aerobe,non-motile,NA,yes,rod,NA,negative,32.8,1.9,0.55,NA,24,NA
AB602429,seawater,obligate aerobe,"motile, but unspecified structure",no,yes,rod,NA,negative,48.1,0.55,0.5,NA,22.5,NA
HQ412594,marine sediment,NA,NA,NA,yes,rod,NA,negative,32.9,NA,0.65,NA,32,NA
NA,plant associated,NA,NA,NA,NA,cocci,NA,NA,NA,6.7,6.85,NA,27,NA
NA,plant associated,NA,NA,NA,yes,ovoid/coccobacillus,NA,NA,NA,9.75,6.1,NA,29,NA
NA,plant associated,NA,NA,NA,yes,ovoid/coccobacillus,NA,NA,NA,NA,4.35,NA,29,NA
NA,other,NA,NA,yes,yes,ovoid/coccobacillus,NA,NA,NA,NA,NA,NA,NA,NA
JF293278,hypersaline environment,obligate aerobe,"motile, but unspecified structure",NA,yes,rod,NA,negative,67.7,NA,1.75,7.5,40,NA
HQ204221,soil,obligate aerobe,non-motile,NA,no,NA,NA,positive,69.6,NA,NA,NA,28,NA
HQ268603,marine sediment,obligate aerobe,NA,no,yes,rod,NA,positive,66.2,1.15,0.4,8,37,NA
HM368615,plant associated,obligate aerobe,non-motile,yes,yes,NA,NA,positive,69.3,NA,NA,7,28,NA
JF272484,soil,obligate aerobe,non-motile,yes,yes,NA,NA,positive,69.7,NA,NA,NA,NA,NA
FR693804,marine sediment,obligate aerobe,NA,yes,yes,ovoid/coccobacillus,NA,positive,71.2,NA,1.1,NA,NA,NA
JF937066,wastewater,obligate aerobe,non-motile,NA,yes,rod,NA,positive,71.2,1.4,0.65,7.75,30,NA
GU997640,soil,obligate aerobe,NA,no,no,rod,NA,positive,NA,NA,NA,NA,37,NA
HQ439902,hypersaline environment,obligate aerobe,flagella,yes,yes,rod,NA,positive,35.8,2.75,0.625,8,37,NA
FN995265,food product,obligate aerobe,"motile, but unspecified structure",yes,yes,rod,NA,positive,36.4,NA,0.65,7,30,NA
HQ263024,other,facultative anaerobe,non-motile,no,yes,ovoid/coccobacillus,NA,positive,42.5,NA,NA,NA,30,NA
NA,other,obligate aerobe,"motile, but unspecified structure",yes,yes,rod,NA,variable,38.2,NA,1,8,30,NA
AB608051,plant associated,facultative anaerobe,non-motile,no,yes,rod,NA,positive,58.5,8.85,2.95,NA,NA,NA
FJ436732,seawater,obligate aerobe,non-motile,no,yes,ovoid/coccobacillus,NA,NA,54.6,NA,0.9,NA,NA,NA
HM013811,freshwater,obligate aerobe,non-motile,no,yes,rod,NA,negative,69.6,1.1,0.4,7,25,NA
FN675262,freshwater sediment,anaerobic,flagella,NA,yes,spirillum/corkscrew,NA,NA,63.8,4,0.65,6.25,30,NA
GU362099,freshwater,facultative anaerobe,flagella,no,yes,rod,NA,negative,64.6,3,0.35,8,33.5,0
GQ131677,hypersaline environment,obligate aerobe,flagella,NA,yes,NA,NA,negative,54.2,1.6,0.3,7.25,27.5,NA
FR851926,other,obligate aerobe,non-motile,no,yes,rod,NA,negative,NA,2,1,NA,NA,NA
GU564402,marine sediment,facultative anaerobe,flagella,NA,yes,rod,NA,negative,40,1.75,0.65,7.5,20,NA
X67234,plant associated,obligate aerobe,NA,no,yes,rod,NA,negative,64.1,NA,NA,6,26.5,NA
GU256444,soil,NA,flagella,no,yes,spirillum/corkscrew,NA,negative,65.5,2.5,0.8,7,30,NA
HQ540311,soil,obligate aerobe,NA,yes,yes,rod,NA,negative,66.8,4.5,0.85,7,30,NA
JF340052,marine sediment,obligate aerobe,non-motile,NA,yes,rod,NA,negative,45.1,3,0.5,7.25,36,NA
HM475139,seawater,obligate aerobe,gliding,no,yes,rod,NA,negative,27,5.3,0.35,NA,25,NA
HM475138,seawater,obligate aerobe,gliding,no,yes,rod,NA,negative,33,4.5,0.35,NA,25,NA
AB362265,marine sediment,facultative anaerobe,gliding,no,yes,rod,NA,negative,42.9,13,0.3,7.8,33,NA
HM355805,marine sediment,obligate aerobe,non-motile,no,yes,rod,NA,negative,45,3.5,0.6,7.25,37,NA
AB574481,other,anaerobic,non-motile,no,yes,rod,NA,negative,45.7,8.5,1.2,NA,37,NA
AB574480,other,anaerobic,non-motile,no,yes,rod,NA,negative,41,2.5,1.4,NA,37,NA
HQ436466,other,obligate aerobe,non-motile,no,no,rod,NA,negative,37.2,1.5,0.35,7,14,NA
HQ436467,other,obligate aerobe,non-motile,no,no,rod,NA,negative,35.1,1.5,0.43,7,14.5,NA
FJ348473,other,obligate aerobe,non-motile,NA,yes,rod,NA,negative,41.7,2.25,0.4,7.5,30,NA
NA,soil,NA,NA,no,yes,cocci,clump,NA,NA,5,4,NA,NA,NA
NA,soil,obligate aerobe,NA,yes,yes,cocci,NA,NA,NA,NA,5,NA,NA,NA
FJ442859,other,NA,non-motile,no,yes,rod,NA,negative,59.4,1.3,0.45,7.5,30,0
AB303305,other,anaerobic,flagella,no,yes,rod,NA,negative,63.3,4,0.85,7.1,35,0.5
AB467279,other,obligate aerobe,non-motile,NA,yes,rod,NA,negative,51.7,2,0.5,8.25,26.5,2.75
FJ669217,soil,facultative anaerobe,flagella,NA,yes,rod,NA,negative,63.8,1.6,0.5,NA,30,0.5
EU909460,other,obligate aerobe,flagella,NA,yes,rod,NA,negative,61.4,1.05,0.6,NA,25,6.5
AB361068,other,obligate aerobe,flagella,no,yes,rod,NA,negative,65.3,1.6,0.5,7,28,0
EF988634,seawater,obligate aerobe,flagella,no,yes,rod,NA,negative,64.9,0.7,0.45,6.75,25,10
AB480534,other,anaerobic,non-motile,no,yes,ovoid/coccobacillus,NA,negative,39.7,0.95,0.8,NA,37,NA
HQ215547,marine sediment,obligate aerobe,"motile, but unspecified structure",NA,yes,rod,NA,negative,69.1,NA,NA,7,42,NA
GU208828,marine sediment,obligate aerobe,"motile, but unspecified structure",NA,yes,ovoid/coccobacillus,NA,negative,69.2,NA,NA,7,45,NA
HQ451075,marine sediment,obligate aerobe,"motile, but unspecified structure",NA,yes,ovoid/coccobacillus,NA,negative,67,NA,NA,7.25,37,NA
HQ197980,hypersaline environment,obligate aerobe,non-motile,NA,yes,rod,NA,negative,61,7,1,7.5,40,NA
AB447467,soil,anaerobic,non-motile,NA,NA,rod,NA,NA,56.4,4.25,0.3,7,37,NA
HQ157183,soil,obligate aerobe,non-motile,yes,yes,rod,NA,positive,70.6,NA,NA,7,28,NA
HQ157184,soil,obligate aerobe,non-motile,NA,yes,NA,NA,positive,69.5,NA,NA,7,28,NA
AF466101,soil,obligate aerobe,non-motile,yes,yes,rod,NA,positive,NA,1.1,0.45,NA,NA,NA
HQ668524,soil,obligate aerobe,non-motile,yes,yes,rod,NA,positive,NA,1.5,0.4,NA,NA,NA
HQ668525,soil,obligate aerobe,non-motile,yes,yes,rod,NA,positive,NA,1.65,0.35,NA,NA,NA
JF271826,other,NA,NA,no,no,rod,NA,NA,NA,NA,NA,NA,37,NA
HQ845195,other,obligate aerobe,NA,NA,yes,rod,NA,positive,63.7,0.76,0.41,NA,NA,NA
HQ845193,other,obligate aerobe,NA,NA,yes,rod,NA,positive,63.7,0.93,0.44,NA,NA,NA
FJ418910,soil,NA,non-motile,yes,no,NA,NA,NA,72.6,NA,NA,6,30,NA
HQ157192,freshwater sediment,NA,NA,NA,yes,ovoid/coccobacillus,NA,positive,65.1,1.6,0.8,NA,28,NA
GQ355277,marine sediment,obligate aerobe,non-motile,yes,yes,rod,NA,positive,45.9,6,0.5,NA,NA,NA
GU457262,freshwater,facultative aerobe,non-motile,NA,no,cocci,NA,positive,42.5,NA,1,NA,30,NA
GU457264,freshwater,facultative anaerobe,non-motile,NA,yes,cocci,NA,positive,43,NA,1.2,NA,30,NA
FN689718,other,obligate aerobe,non-motile,yes,yes,rod,NA,positive,53.9,2.5,0.9,6.5,30,NA
FR851323,wastewater,microaerophile,"motile, but unspecified structure",no,NA,rod,NA,NA,38.2,3.5,0.5,7,30,NA
JF750003,other,anaerobic,flagella,yes,yes,rod,NA,negative,39.2,4.5,0.8,7.25,33,NA
JN006758,marine sediment,obligate aerobe,NA,yes,NA,NA,NA,positive,46.5,NA,NA,6.5,30,NA
EF467848,seawater,obligate aerobe,non-motile,NA,yes,rod,NA,negative,61.8,1.5,0.6,7,26,NA
FR754496,other,anaerobic,NA,NA,NA,rod,NA,negative,35.6,2.75,0.6,4.75,62.5,NA
FR754508,other,anaerobic,non-motile,NA,NA,ovoid/coccobacillus,NA,negative,37.1,1.1,0.45,4.75,60,NA
FJ593905,other,obligate aerobe,flagella,NA,yes,rod,NA,negative,68.8,1.5,0.85,7.75,37.5,NA
HQ315828,soil,obligate aerobe,"motile, but unspecified structure",NA,yes,rod,NA,negative,69.6,NA,NA,7,28,NA
FN539031,other,NA,non-motile,no,yes,rod,NA,negative,NA,NA,NA,NA,37,NA
EF059877,other,NA,non-motile,no,yes,rod,NA,negative,NA,NA,NA,NA,37,NA
HQ830496,soil,obligate aerobe,flagella,no,yes,rod,NA,negative,61.6,1.75,1.2,7,28,NA
HQ830497,soil,obligate aerobe,flagella,no,yes,rod,NA,negative,60.4,1.8,0.95,7,28,NA
HQ830498,soil,obligate aerobe,flagella,no,yes,rod,NA,negative,61.9,1.9,1.2,7,28,NA
EU564841,hotspring,obligate aerobe,non-motile,no,NA,rod,NA,negative,63.4,1.5,1,NA,NA,NA
HM802212,wastewater,NA,non-motile,no,NA,rod,NA,negative,59.4,1.3,0.35,7,30,NA
HQ203045,seawater,obligate aerobe,non-motile,no,yes,rod,NA,negative,60.4,2.75,0.55,8.5,28,NA
HM997022,seawater,anaerobic,NA,NA,yes,ovoid/coccobacillus,NA,negative,60.9,2,0.8,7.75,30,NA
JN050250,other,obligate aerobe,non-motile,NA,yes,ovoid/coccobacillus,NA,negative,40,NA,NA,NA,NA,NA
HQ596527,marine sediment,obligate aerobe,gliding,no,yes,rod,NA,negative,35.4,4,0.65,7.5,25,NA
FR774915,other,obligate aerobe,gliding,no,yes,rod,NA,negative,NA,2.5,0.9,7.5,26.5,NA
FR774916,other,obligate aerobe,gliding,no,yes,rod,NA,negative,NA,1.25,0.9,7.5,27.5,NA
JF806527,wastewater,obligate aerobe,non-motile,no,yes,cocci,NA,positive,67.6,NA,NA,7.25,30,NA
FR682077,other,NA,NA,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,NA
FR8501641,other,anaerobic,NA,no,NA,rod,NA,negative,33.6,15,1,6.9,55,NA
EF653942,other,NA,NA,no,yes,ovoid/coccobacillus,NA,NA,NA,8,3,NA,NA,NA
EF653942,other,NA,NA,no,yes,ovoid/coccobacillus,NA,NA,NA,8,3,NA,NA,NA
EF653942,other,NA,NA,no,yes,ovoid/coccobacillus,NA,NA,NA,8,3,NA,NA,NA
NA,other,NA,non-motile,NA,yes,ovoid/coccobacillus,NA,NA,NA,3,2.5,NA,NA,NA
HQ110085,freshwater sediment,NA,non-motile,NA,yes,rod,NA,negative,37,8.5,NA,6.5,30,NA
EU427445,freshwater,obligate aerobe,NA,yes,no,NA,NA,positive,72,NA,NA,NA,NA,NA
JF742631,soil,NA,NA,yes,no,NA,NA,NA,66.4,NA,NA,7,28,0
JN006759,other,NA,NA,yes,yes,NA,NA,NA,69.5,NA,NA,NA,NA,NA
GU434253,plant endophyte,obligate aerobe,non-motile,NA,no,cocci,NA,positive,71.7,0.6,0.5,NA,NA,NA
HQ246163,wastewater,obligate aerobe,"motile, but unspecified structure",no,yes,rod,NA,positive,66.2,0.65,0.4,7,27.5,NA
FN428698,wastewater,obligate aerobe,"motile, but unspecified structure",yes,NA,rod,NA,positive,40.2,NA,NA,6.75,60,NA
FJ424814,seawater,obligate aerobe,gliding,NA,yes,rod,NA,negative,38.1,NA,0.25,NA,33.5,NA
HQ383683,soil,obligate aerobe,NA,NA,yes,NA,NA,positive,47.3,NA,NA,NA,NA,NA
HQ847537,plant associated,NA,non-motile,NA,yes,ovoid/coccobacillus,NA,positive,36,NA,NA,NA,NA,NA
EU877262,soil,obligate aerobe,non-motile,NA,yes,rod,NA,negative,45.2,NA,0.35,7,30,0.5
JF262044,other,anaerobic,"motile, but unspecified structure",no,NA,rod,NA,positive,43.1,2.5,0.4,7.25,50,NA
FM882228,other,obligate aerobe,non-motile,NA,yes,rod,NA,negative,30,2.3,1.1,7.1,27.5,NA
FJ598048,other,obligate aerobe,non-motile,NA,NA,rod,NA,negative,34.6,NA,0.55,NA,27.5,2
EF204460,other,obligate aerobe,non-motile,NA,yes,rod,NA,negative,38,1.65,0.8,NA,27.5,0.25
AB489904,soil,obligate aerobe,non-motile,no,yes,cocci,NA,positive,72.9,NA,0.6,6,28,1
FJ807672,soil,obligate aerobe,non-motile,NA,NA,cocci,NA,positive,NA,NA,1.25,NA,27.5,NA
FJ807673,other,obligate aerobe,NA,NA,NA,rod,NA,positive,NA,NA,1.1,NA,27.5,NA
FJ865215,other,obligate aerobe,non-motile,NA,NA,rod,NA,positive,NA,NA,1.1,NA,27.5,NA
FJ865214,other,obligate aerobe,non-motile,yes,yes,rod,NA,positive,NA,NA,1.1,NA,27.5,NA
EF467640,soil,obligate aerobe,"motile, but unspecified structure",NA,yes,rod,NA,positive,64.7,2.5,0.8,7,16.5,NA
FJ374773,other,facultative anaerobe,NA,no,yes,rod,NA,positive,NA,NA,NA,NA,NA,NA
EU852101,other,NA,non-motile,no,yes,ovoid/coccobacillus,NA,positive,70.3,NA,NA,7,30,2
FN293377,other,NA,non-motile,no,yes,cocci,NA,positive,NA,1.2,0.8,8.5,27.5,NA
FJ607311,other,obligate aerobe,non-motile,NA,yes,cocci,NA,positive,70.2,NA,1.25,NA,33.5,1
AB468943,soil,obligate aerobe,"motile, but unspecified structure",NA,yes,NA,NA,positive,70.6,NA,NA,NA,27.5,NA
AB468944,soil,obligate aerobe,"motile, but unspecified structure",yes,yes,NA,NA,positive,70.6,NA,NA,7,24,0.5
FJ444996,other,obligate aerobe,non-motile,yes,yes,NA,NA,positive,66.1,NA,NA,7,32.5,0
FJ765415,other,NA,non-motile,NA,yes,ovoid/coccobacillus,NA,positive,48.3,2.9,0.6,7.25,30,2
HM443957,NA,facultative anaerobe,NA,no,NA,cocci,NA,positive,36.4,NA,NA,NA,30,NA
HQ828140,other,anaerobic,flagella,yes,NA,rod,NA,negative,32,20,0.35,9,40,NA
FM244718,estuarine sediment,anaerobic,flagella,yes,yes,rod,NA,variable,32.6,2.5,0.5,6.75,60,NA
AB573431,hotspring,anaerobic,flagella,NA,NA,rod,NA,NA,42.2,2,NA,6.25,65,NA
JF295053,plant associated,facultative anaerobe,"motile, but unspecified structure",no,yes,rod,NA,negative,53.2,2.25,1,NA,NA,NA
NA,plant associated,facultative anaerobe,non-motile,no,yes,rod,NA,negative,51.2,2.5,1,NA,NA,NA
NA,plant associated,facultative anaerobe,"motile, but unspecified structure",no,yes,rod,NA,negative,55.5,1.25,1,NA,NA,NA
JN565849,bioreactor,obligate aerobe,flagella,NA,NA,cocci,NA,negative,68.5,3.25,3.5,7,40,1.16
KC447383,plant associated,facultative anaerobe,flagella,yes,yes,rod,NA,variable,57.8,3,0.9,7,28,5
KC525204,human - mouth,NA,NA,no,yes,rod,NA,NA,NA,NA,NA,NA,27.5,NA
HG315101,human - mouth,facultative anaerobe,non-motile,no,NA,cocci,chain,positive,40.8,NA,NA,6.75,NA,NA
HG315104,human - mouth,facultative anaerobe,non-motile,no,NA,cocci,chain,positive,40.8,NA,NA,6.75,NA,NA
JX402080,hypersaline environment,obligate aerobe,flagella,yes,yes,rod,NA,positive,36.2,2.5,0.35,7.25,38.5,10.5
AB607833,other,obligate aerobe,non-motile,no,NA,NA,NA,negative,63.2,2,1.2,NA,NA,NA
FJ906745,other,obligate aerobe,flagella,NA,yes,rod,NA,negative,51.1,1.6,0.8,7.5,25,NA
HQ171441,marine sediment,facultative aerobe,flagella,NA,yes,cocci,NA,negative,58.5,NA,1.25,7,30,NA
GQ161989,soil,obligate aerobe,flagella,NA,yes,rod,NA,negative,64.1,1.2,0.7,7.5,NA,NA
HQ697913,estuarine sediment,anaerobic,flagella,no,NA,rod,NA,negative,64.5,1.9,0.6,7,37.5,NA
HM629444,other,obligate aerobe,flagella,no,yes,rod,NA,negative,63.3,0.55,1.8,7,29,NA
HM193517,soil,NA,NA,NA,yes,rod,NA,negative,62.8,1.4,0.4,7,30,NA
HQ709061,hotspring,obligate aerobe,flagella,no,NA,rod,NA,negative,70.6,4,0.5,8,54,NA
JF330773,freshwater sediment,obligate aerobe,flagella,no,yes,rod,NA,negative,50,1.6,0.2,9.5,29,NA
FJ882052,seawater,obligate aerobe,NA,NA,yes,rod,NA,negative,53.8,2.25,0.7,8.25,22.5,NA
GQ245918,seawater,facultative anaerobe,flagella,no,yes,rod,NA,negative,50.2,1.7,0.5,7,27.5,NA
AB607860,plant associated,obligate aerobe,"motile, but unspecified structure",no,yes,rod,NA,negative,70.2,1.8,1.3,NA,NA,NA
HQ315827,soil,obligate aerobe,flagella,NA,yes,rod,NA,negative,70.7,1.9,0.4,7,28,NA
AM229325,other,obligate aerobe,flagella,no,yes,rod,NA,negative,68.3,1.25,0.45,7,30,NA
FN995238,other,NA,flagella,no,yes,ovoid/coccobacillus,NA,negative,71,4,1,7.5,NA,NA
HQ456127,other,facultative anaerobe,gliding,NA,yes,rod,NA,negative,34.2,2.25,0.45,7.5,26.5,NA
FN908501,other,obligate aerobe,non-motile,no,yes,rod,NA,negative,44.2,1.7,0.65,NA,NA,NA
FN908502,other,obligate aerobe,non-motile,no,yes,rod,NA,negative,39.3,1.75,0.8,NA,NA,NA
HQ197982,hypersaline environment,obligate aerobe,non-motile,NA,yes,rod,NA,negative,64.8,37,0.5,7.5,37,NA
HQ197983,hypersaline environment,obligate aerobe,non-motile,NA,yes,rod,NA,negative,65.6,11.5,0.7,7.5,37,NA
HQ336487,seawater,obligate aerobe,non-motile,NA,yes,rod,NA,negative,34.4,1.75,0.6,7.5,25,NA
JF739858,hotspring,obligate aerobe,non-motile,no,yes,rod,NA,NA,35.2,2.25,0.4,6.25,45,NA
JF701183,soil,facultative anaerobe,non-motile,no,yes,rod,NA,negative,47.2,1.5,0.6,6.5,26.5,NA
EU701067,other,obligate aerobe,non-motile,NA,yes,rod,NA,negative,71.3,5,0.6,7,67.5,NA
FR774763,other,obligate aerobe,non-motile,no,yes,rod,NA,negative,54.1,2.25,0.75,5.25,25,NA
EU780204,other,obligate aerobe,non-motile,no,no,rod,NA,negative,51.7,1.5,0.65,4.25,25,NA
NA,other,obligate aerobe,NA,yes,yes,NA,NA,NA,NA,NA,NA,NA,25,NA
NA,other,NA,NA,NA,yes,cocci,NA,NA,NA,4,3,NA,NA,NA
AB469560,other,facultative anaerobe,non-motile,no,yes,cocci,NA,positive,39.9,NA,0.875,NA,37,NA
EF382648,other,anaerobic,non-motile,yes,yes,rod,NA,variable,37.2,NA,0.9,6.7,38,NA
FM162181,other,obligate aerobe,"motile, but unspecified structure",yes,yes,rod,NA,positive,48.1,3,1,7.2,20,2
FJ182214,other,obligate aerobe,flagella,yes,NA,rod,NA,positive,37.6,NA,0.35,7,37,NA
AB449106,soil,obligate aerobe,non-motile,no,NA,ovoid/coccobacillus,NA,positive,45,1.1,0.6,8.75,30,NA
EF468719,seawater,obligate aerobe,non-motile,NA,no,cocci,NA,negative,47.8,NA,0.67,NA,22.5,3.5
EU726271,seawater,NA,flagella,NA,no,rod,NA,negative,65.9,1,1,NA,31,NA
EF622233,other,obligate aerobe,flagella,NA,yes,rod,NA,negative,52.5,2.15,1.55,NA,32.5,NA
AB440632,other,NA,non-motile,NA,NA,NA,NA,negative,40.1,0.74,0.36,NA,NA,NA
AB440636,other,NA,non-motile,NA,NA,rod,NA,negative,40.4,1.16,0.43,NA,NA,NA
AB362219,other,obligate aerobe,non-motile,no,NA,rod,NA,negative,65.6,1.4,0.3,4.5,32.5,NA
EF424391,other,obligate aerobe,flagella,NA,yes,rod,NA,negative,68,0.8,0.1,7.5,28,1
AM983542,other,obligate aerobe,flagella,no,yes,rod,NA,negative,67.5,2.15,0.7,NA,25,NA
EU682685,soil,obligate aerobe,flagella,NA,yes,rod,NA,negative,65.8,2,0.35,NA,30,0.05
AY136099,freshwater,obligate aerobe,flagella,NA,NA,rod,NA,negative,69.3,2,NA,NA,29.5,NA
AM933371,other,anaerobic,flagella,NA,no,rod,NA,negative,NA,NA,NA,NA,39.5,NA
DQ322070,hotspring,obligate aerobe,flagella,no,NA,rod,NA,negative,67.8,2.5,0.9,7.75,39.5,NA
FR877778,freshwater sediment,obligate aerobe,non-motile,NA,yes,cocci,clump,variable,62.1,1.5,1.5,9.25,41,25
HQ219727,marine sediment,obligate aerobe,"motile, but unspecified structure",NA,yes,rod,NA,positive,71,5.5,1.25,7,28,0
FJ948172,other,NA,non-motile,no,yes,rod,NA,positive,64.8,1.1,0.475,9,36,2.5
JF935275,soil,obligate aerobe,non-motile,yes,no,rod,NA,positive,72,NA,NA,NA,31,NA
HQ896499,human - fecal,anaerobic,non-motile,NA,NA,cocci,NA,positive,59.93,NA,0.85,7.6,37,NA
JF979130,hypersaline environment,obligate aerobe,non-motile,NA,yes,rod,NA,negative,66,7,1,7.5,40,NA
FJ465151,soil,obligate aerobe,NA,yes,yes,NA,NA,positive,70.7,NA,NA,7.5,28,NA
AB639012,other,facultative anaerobe,non-motile,no,yes,ovoid/coccobacillus,NA,positive,71.7,0.75,0.55,7.5,28,NA
FN552454,other,microaerophile,non-motile,no,yes,rod,NA,positive,NA,6,1.25,NA,NA,NA
FM998036,soil,obligate aerobe,non-motile,yes,no,NA,NA,positive,64.2,NA,NA,7.75,33.5,NA
JN005785,soil,obligate aerobe,non-motile,yes,yes,NA,NA,positive,73.8,NA,NA,8,37,NA
FR692091,soil,obligate aerobe,non-motile,yes,NA,NA,NA,positive,70.2,NA,NA,NA,NA,NA
FR692095,soil,obligate aerobe,NA,yes,NA,NA,NA,positive,69.2,NA,NA,NA,NA,NA
FR692098,soil,obligate aerobe,NA,yes,yes,NA,NA,positive,73.2,NA,NA,NA,NA,NA
HQ702749,soil,obligate aerobe,"motile, but unspecified structure",NA,yes,rod,NA,positive,74.4,2.2,0.65,7,28,NA
HQ157187,soil,obligate aerobe,non-motile,yes,no,NA,NA,positive,70.8,NA,NA,7,30,NA
EF520006,soil,obligate aerobe,flagella,yes,no,rod,NA,positive,37.9,3.25,0.4,8,37,NA
GU937385,marine sediment,obligate aerobe,"motile, but unspecified structure",no,yes,rod,NA,positive,44.3,1.3,0.35,8,30,NA
HQ704069,other,obligate aerobe,"motile, but unspecified structure",yes,yes,rod,NA,positive,58,2.1,0.35,7,30,NA
JF742665,soil,obligate aerobe,"motile, but unspecified structure",no,yes,cocci,NA,positive,40.5,NA,1,7.5,25,NA
GU265900,hypersaline environment,anaerobic,"motile, but unspecified structure",no,NA,NA,NA,negative,33.3,4.25,1.2,8.3,45,NA
GU983697,other,facultative anaerobe,non-motile,no,yes,cocci,NA,positive,NA,NA,NA,NA,NA,NA
AB602498,soil,obligate aerobe,"motile, but unspecified structure",NA,yes,rod,NA,positive,73.6,1.5,6,8.5,25,1.5
AB602499,soil,obligate aerobe,"motile, but unspecified structure",no,yes,rod,NA,positive,75.8,2,6,9,26,3
AB597931,soil,NA,non-motile,yes,yes,NA,chain,positive,72.3,NA,NA,9,27.5,1
FR832424,other,obligate aerobe,non-motile,no,yes,cocci,NA,positive,70.4,1.15,1.15,8,26,5
GU223601,other,facultative anaerobe,flagella,NA,yes,rod,NA,negative,41.6,2.8,1,7,28,NA
HQ698842,other,obligate aerobe,non-motile,no,yes,rod,NA,negative,70.5,1.1,0.45,8,28,NA
EU678309,freshwater sediment,microaerophile,non-motile,NA,yes,rod,NA,negative,61,3.5,1,6.75,22.5,NA
HQ877464,other,NA,NA,NA,no,NA,NA,negative,NA,NA,NA,NA,NA,NA
HQ398202,other,NA,flagella,NA,yes,rod,NA,negative,NA,NA,NA,NA,35,NA
HQ385753,wastewater,NA,"motile, but unspecified structure",no,yes,ovoid/coccobacillus,NA,negative,65.5,1.4,0.45,7,30,NA
AB602427,seawater,obligate aerobe,non-motile,NA,NA,cocci,NA,negative,59.6,NA,0.4,7.5,22.5,NA
AB602430,seawater,obligate aerobe,non-motile,NA,NA,cocci,NA,negative,59.4,NA,0.4,7.5,22.5,NA
AM947938,soil,NA,flagella,NA,yes,rod,NA,NA,63.8,3,1,6.75,30,NA
FN813512,soil,NA,"motile, but unspecified structure",NA,yes,rod,NA,NA,62.4,2.75,0.9,6.75,NA,NA
NA,soil,NA,"motile, but unspecified structure",NA,yes,rod,NA,NA,65.8,4,0.9,7,NA,NA
