"t_number","org_code","aliases","full_name","definition","annotation","taxonomy","lineage","data_source","keywords","disease","comment","number_of_nucleotides","number_of_protein_genes","number_of_RNA_genes","created","type","detail","accession","length","accession2","tax_id"
"T00590","ecw","ECO24, 331111","Escherichia coli E24377A (ETEC)","Escherichia coli E24377A (ETEC)","manual","TAX: 331111","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia","GenBank (Assembly: GCA_000017745.1)            BioProject: 13960","Human pathogen","H00280  Enterotoxigenic Escherichia coli (ETEC) infection","Verified human pathogen.            Produces labile toxin and stable toxin.            Produces the CS1 and CS3 colonization factor antigens (CFA).",5249288,4997,113,2007,"Plasmid","pETEC_5; Circular","CP000801",5033,"CP000801","331111"
"T00590","ecw","ECO24, 331111","Escherichia coli E24377A (ETEC)","Escherichia coli E24377A (ETEC)","manual","TAX: 331111","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia","GenBank (Assembly: GCA_000017745.1)            BioProject: 13960","Human pathogen","H00280  Enterotoxigenic Escherichia coli (ETEC) infection","Verified human pathogen.            Produces labile toxin and stable toxin.            Produces the CS1 and CS3 colonization factor antigens (CFA).",5249288,4997,113,2007,"Plasmid","pETEC_6; Circular","CP000798",6199,"CP000798","331111"
"T00590","ecw","ECO24, 331111","Escherichia coli E24377A (ETEC)","Escherichia coli E24377A (ETEC)","manual","TAX: 331111","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia","GenBank (Assembly: GCA_000017745.1)            BioProject: 13960","Human pathogen","H00280  Enterotoxigenic Escherichia coli (ETEC) infection","Verified human pathogen.            Produces labile toxin and stable toxin.            Produces the CS1 and CS3 colonization factor antigens (CFA).",5249288,4997,113,2007,"Plasmid","pETEC_35; Circular","CP000796",34367,"CP000796","331111"
"T00590","ecw","ECO24, 331111","Escherichia coli E24377A (ETEC)","Escherichia coli E24377A (ETEC)","manual","TAX: 331111","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia","GenBank (Assembly: GCA_000017745.1)            BioProject: 13960","Human pathogen","H00280  Enterotoxigenic Escherichia coli (ETEC) infection","Verified human pathogen.            Produces labile toxin and stable toxin.            Produces the CS1 and CS3 colonization factor antigens (CFA).",5249288,4997,113,2007,"Plasmid","pETEC_73; Circular","CP000797",70609,"CP000797","331111"
"T00590","ecw","ECO24, 331111","Escherichia coli E24377A (ETEC)","Escherichia coli E24377A (ETEC)","manual","TAX: 331111","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia","GenBank (Assembly: GCA_000017745.1)            BioProject: 13960","Human pathogen","H00280  Enterotoxigenic Escherichia coli (ETEC) infection","Verified human pathogen.            Produces labile toxin and stable toxin.            Produces the CS1 and CS3 colonization factor antigens (CFA).",5249288,4997,113,2007,"Plasmid","pETEC_74; Circular","CP000799",74224,"CP000799","331111"
"T00590","ecw","ECO24, 331111","Escherichia coli E24377A (ETEC)","Escherichia coli E24377A (ETEC)","manual","TAX: 331111","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia","GenBank (Assembly: GCA_000017745.1)            BioProject: 13960","Human pathogen","H00280  Enterotoxigenic Escherichia coli (ETEC) infection","Verified human pathogen.            Produces labile toxin and stable toxin.            Produces the CS1 and CS3 colonization factor antigens (CFA).",5249288,4997,113,2007,"Plasmid","pETEC_80; Circular","CP000795",79237,"CP000795","331111"
"T00672","ecm","ECOSM, 439855","Escherichia coli SMS-3-5 (environmental)","Escherichia coli SMS-3-5 (environmental isolate)","manual","TAX: 439855","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia","GenBank (Assembly: GCA_000019645.1)            BioProject: 19469",NA,NA,"Multidrug-resistant.            Isolated from Shipyard Creek, an industrially contaminated tidal system in the southeastern United States.",5215377,4913,112,2008,"Chromosome","Circular","CP000970",5068389,"CP000970","439855"
"T00672","ecm","ECOSM, 439855","Escherichia coli SMS-3-5 (environmental)","Escherichia coli SMS-3-5 (environmental isolate)","manual","TAX: 439855","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia","GenBank (Assembly: GCA_000019645.1)            BioProject: 19469",NA,NA,"Multidrug-resistant.            Isolated from Shipyard Creek, an industrially contaminated tidal system in the southeastern United States.",5215377,4913,112,2008,"Plasmid","pSMS35_3; Circular","CP000974",3565,"CP000974","439855"
"T00672","ecm","ECOSM, 439855","Escherichia coli SMS-3-5 (environmental)","Escherichia coli SMS-3-5 (environmental isolate)","manual","TAX: 439855","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia","GenBank (Assembly: GCA_000019645.1)            BioProject: 19469",NA,NA,"Multidrug-resistant.            Isolated from Shipyard Creek, an industrially contaminated tidal system in the southeastern United States.",5215377,4913,112,2008,"Plasmid","pSMS35_4; Circular","CP000973",4074,"CP000973","439855"
"T00672","ecm","ECOSM, 439855","Escherichia coli SMS-3-5 (environmental)","Escherichia coli SMS-3-5 (environmental isolate)","manual","TAX: 439855","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia","GenBank (Assembly: GCA_000019645.1)            BioProject: 19469",NA,NA,"Multidrug-resistant.            Isolated from Shipyard Creek, an industrially contaminated tidal system in the southeastern United States.",5215377,4913,112,2008,"Plasmid","pSMS35_8; Circular","CP000972",8909,"CP000972","439855"
"T00672","ecm","ECOSM, 439855","Escherichia coli SMS-3-5 (environmental)","Escherichia coli SMS-3-5 (environmental isolate)","manual","TAX: 439855","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia","GenBank (Assembly: GCA_000019645.1)            BioProject: 19469",NA,NA,"Multidrug-resistant.            Isolated from Shipyard Creek, an industrially contaminated tidal system in the southeastern United States.",5215377,4913,112,2008,"Plasmid","pSMS35_130; Circular","CP000971",130440,"CP000971","439855"
"T00784","ecy","ECOLX, 409438","Escherichia coli O152:H28 SE11 (commensal)","Escherichia coli O152:H28 SE11 (commensal strain)","manual","TAX: 409438","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia","GenBank (Assembly: GCA_000010385.1)            BioProject: 18057",NA,NA,"Isolated from feces of a healthy adult.",5155626,5002,107,2008,"Chromosome","Circular","AP009240",4887515,"AP009240","409438"
"T00784","ecy","ECOLX, 409438","Escherichia coli O152:H28 SE11 (commensal)","Escherichia coli O152:H28 SE11 (commensal strain)","manual","TAX: 409438","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia","GenBank (Assembly: GCA_000010385.1)            BioProject: 18057",NA,NA,"Isolated from feces of a healthy adult.",5155626,5002,107,2008,"Plasmid","pSE11-1; Circular","AP009241",100021,"AP009241","409438"
"T00784","ecy","ECOLX, 409438","Escherichia coli O152:H28 SE11 (commensal)","Escherichia coli O152:H28 SE11 (commensal strain)","manual","TAX: 409438","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia","GenBank (Assembly: GCA_000010385.1)            BioProject: 18057",NA,NA,"Isolated from feces of a healthy adult.",5155626,5002,107,2008,"Plasmid","pSE11-2; Circular","AP009242",91158,"AP009242","409438"
"T00784","ecy","ECOLX, 409438","Escherichia coli O152:H28 SE11 (commensal)","Escherichia coli O152:H28 SE11 (commensal strain)","manual","TAX: 409438","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia","GenBank (Assembly: GCA_000010385.1)            BioProject: 18057",NA,NA,"Isolated from feces of a healthy adult.",5155626,5002,107,2008,"Plasmid","pSE11-3; Circular","AP009243",60555,"AP009243","409438"
"T00784","ecy","ECOLX, 409438","Escherichia coli O152:H28 SE11 (commensal)","Escherichia coli O152:H28 SE11 (commensal strain)","manual","TAX: 409438","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia","GenBank (Assembly: GCA_000010385.1)            BioProject: 18057",NA,NA,"Isolated from feces of a healthy adult.",5155626,5002,107,2008,"Plasmid","pSE11-4; Circular","AP009244",6929,"AP009244","409438"
"T00784","ecy","ECOLX, 409438","Escherichia coli O152:H28 SE11 (commensal)","Escherichia coli O152:H28 SE11 (commensal strain)","manual","TAX: 409438","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia","GenBank (Assembly: GCA_000010385.1)            BioProject: 18057",NA,NA,"Isolated from feces of a healthy adult.",5155626,5002,107,2008,"Plasmid","pSE11-5; Circular","AP009245",5366,"AP009245","409438"
"T00784","ecy","ECOLX, 409438","Escherichia coli O152:H28 SE11 (commensal)","Escherichia coli O152:H28 SE11 (commensal strain)","manual","TAX: 409438","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia","GenBank (Assembly: GCA_000010385.1)            BioProject: 18057",NA,NA,"Isolated from feces of a healthy adult.",5155626,5002,107,2008,"Plasmid","pSE11-6; Circular","AP009246",4082,"AP009246","409438"
"T00828","ecr","ECO8A, 585034","Escherichia coli O8 IAI1 (commensal)","Escherichia coli O8 IAI1 (commensal strain)","manual","TAX: 585034","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia","GenBank (Assembly: GCA_000026265.1)            BioProject: 59377",NA,NA,"Isolated from the faeces of a young healthy military conscript in the 1980s in France.",4700560,4354,197,2009,"Chromosome","Circular","CU928160",4700560,"CU928160","585034"
"T00827","ecq","ECO81, 585397","Escherichia coli O81 ED1a (commensal)","Escherichia coli O81 D1a (commensal strain)","manual","TAX: 585397","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia","GenBank (Assembly: GCA_000026305.1)            BioProject: 33409",NA,NA,"Isolated in the 2000s from the faeces of a healthy man in France.",5209548,4915,203,2009,"Chromosome","Circular","CU928162",5209548,"CU928162","585397"
"T00826","eck","ECO55, 585055","Escherichia coli 55989 (EAEC)","Escherichia coli 55989 (EAEC)","manual","TAX: 585055","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia","GenBank (Assembly: GCA_000026245.1)            BioProject: 33413","Human pathogen","H01312  Enteroaggregative Escherichia coli (EAEC) infection","Isolated from the diarrheagenic stools of an HIV-positive adult suffering from persistent watery diarrhea in Central African Republic.",5154862,4763,226,2009,"Chromosome","Circular","CU928145",5154862,"CU928145","585055"
"T00829","ect","ECO7I, 585057","Escherichia coli O7:K1 IAI39 (ExPEC)","Escherichia coli O7:K1 IAI39 (ExPEC)","manual","TAX: 585057","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia","RefSeq (Assembly: GCF_000026345.1)            BioProject: 59381","Human pathogen","H00279  Uropathogenic Escherichia coli (UPEC) infection","Isolated from the urine of a patient with pyelonephritis in the 1980s in France.",5132068,4725,207,2009,"Chromosome","Circular","NC_011750 (CU928164)",5132068,"NC_011750","585057"
"T01999","eoc","1072459","Escherichia coli O7:K1 CE10","Escherichia coli O7:K1 CE10","KOALA","TAX: 1072459","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia","GenBank (Assembly: GCA_000227625.1)            BioProject: 63597","Human pathogen","H01313  Escherichia coli meningitis","Isolated from the cerebrospinal fluid (CSF) of a neonate with meningitis.",5378729,5080,113,2012,"Chromosome","Circular","CP003034",5313531,"CP003034","1072459"
"T01999","eoc","1072459","Escherichia coli O7:K1 CE10","Escherichia coli O7:K1 CE10","KOALA","TAX: 1072459","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia","GenBank (Assembly: GCA_000227625.1)            BioProject: 63597","Human pathogen","H01313  Escherichia coli meningitis","Isolated from the cerebrospinal fluid (CSF) of a neonate with meningitis.",5378729,5080,113,2012,"Plasmid","pCE10A; Circular","CP003035",54289,"CP003035","1072459"
"T01999","eoc","1072459","Escherichia coli O7:K1 CE10","Escherichia coli O7:K1 CE10","KOALA","TAX: 1072459","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia","GenBank (Assembly: GCA_000227625.1)            BioProject: 63597","Human pathogen","H01313  Escherichia coli meningitis","Isolated from the cerebrospinal fluid (CSF) of a neonate with meningitis.",5378729,5080,113,2012,"Plasmid","pCE10B; Circular","CP003036",5163,"CP003036","1072459"
"T01999","eoc","1072459","Escherichia coli O7:K1 CE10","Escherichia coli O7:K1 CE10","KOALA","TAX: 1072459","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia","GenBank (Assembly: GCA_000227625.1)            BioProject: 63597","Human pathogen","H01313  Escherichia coli meningitis","Isolated from the cerebrospinal fluid (CSF) of a neonate with meningitis.",5378729,5080,113,2012,"Plasmid","pCE10C; Circular","CP003037",4197,"CP003037","1072459"
"T01999","eoc","1072459","Escherichia coli O7:K1 CE10","Escherichia coli O7:K1 CE10","KOALA","TAX: 1072459","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia","GenBank (Assembly: GCA_000227625.1)            BioProject: 63597","Human pathogen","H01313  Escherichia coli meningitis","Isolated from the cerebrospinal fluid (CSF) of a neonate with meningitis.",5378729,5080,113,2012,"Plasmid","pCE10D; Circular","CP003038",1549,"CP003038","1072459"
"T00831","eum","ECOLU, 585056","Escherichia coli O17:K52:H18 UMN026 (ExPEC)","Escherichia coli O17:K52:H18 UMN026 (ExPEC)","manual","TAX: 585056","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia","RefSeq (Assembly: GCF_000026325.1)            BioProject: 62981","Human pathogen, Methylotroph","H00279  Uropathogenic Escherichia coli (UPEC) infection","Representative of a recently emerged E. coli clonal group (""clonal group A"") that is now widely disseminated and a cause of drug-resistant urinary tract and other extraintestinal infections.            Isolated from a woman with uncomplicated acute cystitis in 1999 in the USA.",5358200,5017,194,2009,"Chromosome","Circular","NC_011751 (CU928163)",5202090,"NC_011751","585056"
"T00831","eum","ECOLU, 585056","Escherichia coli O17:K52:H18 UMN026 (ExPEC)","Escherichia coli O17:K52:H18 UMN026 (ExPEC)","manual","TAX: 585056","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia","RefSeq (Assembly: GCF_000026325.1)            BioProject: 62981","Human pathogen, Methylotroph","H00279  Uropathogenic Escherichia coli (UPEC) infection","Representative of a recently emerged E. coli clonal group (""clonal group A"") that is now widely disseminated and a cause of drug-resistant urinary tract and other extraintestinal infections.            Isolated from a woman with uncomplicated acute cystitis in 1999 in the USA.",5358200,5017,194,2009,"Plasmid","p1ESCUM; Circular","NC_011749 (CU928148)",122301,"NC_011749","585056"
"T00831","eum","ECOLU, 585056","Escherichia coli O17:K52:H18 UMN026 (ExPEC)","Escherichia coli O17:K52:H18 UMN026 (ExPEC)","manual","TAX: 585056","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia","RefSeq (Assembly: GCF_000026325.1)            BioProject: 62981","Human pathogen, Methylotroph","H00279  Uropathogenic Escherichia coli (UPEC) infection","Representative of a recently emerged E. coli clonal group (""clonal group A"") that is now widely disseminated and a cause of drug-resistant urinary tract and other extraintestinal infections.            Isolated from a woman with uncomplicated acute cystitis in 1999 in the USA.",5358200,5017,194,2009,"Plasmid","p2ESCUM; Circular","NC_011739 (CU928149)",33809,"NC_011739","585056"
"T00830","ecz","ECO45, 585035","Escherichia coli O45:K1:H7 S88 (ExPEC)","Escherichia coli O45:K1:H7 S88 (ExPEC)","manual","TAX: 585035","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia","GenBank (Assembly: GCA_000026285.1)            BioProject: 33375","Human pathogen","H01313  Escherichia coli meningitis","Isolated in 1999 from the cerebro-spinal fluid of a new born with late-onset neonatal meningitis in France.",5166121,4832,205,2009,"Chromosome","Circular","CU928161",5032268,"CU928161","585035"
